From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Hosur,Kalady,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:39:00 AM,890
Hosur,Kalady,Kallada Travels,278,00:06:57,SEMI SLEEPER CUM SLEEPER,6:55:00 PM,1:52:00 AM,1600
Hosur,Goa,Seabird Tourists,580,00:14:30,"2+2, Multi Axle Volvo SemiSleeper, AC, Video",8:00:00 PM,10:30:00 AM,860
Hosur,Vellore,Shama sardar Travels,140,00:03:30,Volvo A/C Semi Sleeper Multi axle (2+2),5:30:00 PM,9:00:00 PM,4090
Hosur,Sirikali,Srs Travels (SRS Travels),303,00:07:35,"2+1, Sleeper, Non-AC, Non-Video",11:55:00 PM,7:30:00 AM,1420
Hosur,Sirikali,Srs Travels (SRS Travels),360,00:09:00,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,8:30:00 AM,1150
Hosur,Salem,Sachin Travels,140,00:03:30,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,3:30:00 AM,4090
Hosur,Salem,Kallada Travels,162,00:04:03,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,6:48:00 PM,3370
Hosur,Salem,Kallada Travels,162,00:04:03,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:45:00 AM,1:48:00 PM,3370
Hosur,Salem,Srs Travels (SRS Travels),113,00:02:50,"2+1, Sleeper, Non-AC, Non-Video",11:55:00 PM,2:45:00 AM,5370
Hosur,Salem,KPN Travels,185,00:04:38,2+2 VOLVO A/C(MULTI AXLE) : 44,9:00:00 AM,12:00:00 AM,2810
Hosur,Salem,KPN Travels,150,00:03:45,2+2 VOLVO A/C(MULTI AXLE) : 44,4:00:00 PM,7:45:00 PM,3740
Hosur,Salem,Srs Travels (SRS Travels),110,00:02:45,"2+1, Sleeper, Non-AC, Non-Video",7:45:00 PM,10:30:00 PM,5580
Hosur,Salem,Srs Travels (SRS Travels),140,00:03:30,"2+1, Sleeper, Non-AC, Non-Video",11:30:00 PM,3:00:00 AM,4090
